submit_id,hold_d
IDX00001,0.0
IDX00002,0.0
IDX00003,0.0
IDX00004,0.0
IDX00005,0.0
IDX00006,0.0
IDX00007,0.0
IDX00008,0.0
IDX00009,0.0
IDX00010,0.0
IDX00011,0.0
IDX00012,0.0
IDX00013,0.0
IDX00014,0.0
IDX00015,0.0
IDX00016,0.0
IDX00017,0.0
IDX00018,0.0
IDX00019,0.0
IDX00020,0.0
IDX00021,0.0
IDX00022,0.0
IDX00023,0.0
IDX00024,0.0
IDX00025,0.0
IDX00026,0.0
IDX00027,0.0
IDX00028,0.0
IDX00029,0.0
IDX00030,0.0
IDX00031,0.0
IDX00032,0.0
IDX00033,0.0
IDX00034,0.0
IDX00035,0.0
IDX00036,0.0
IDX00037,0.0
IDX00038,0.0
IDX00039,0.0
IDX00040,0.0
IDX00041,0.0
IDX00042,0.0
IDX00043,0.0
IDX00044,0.0
IDX00045,0.0
IDX00046,7.86
IDX00047,0.0
IDX00048,0.0
IDX00049,0.0
IDX00050,0.0
IDX00051,0.0
IDX00052,0.0
IDX00053,0.0
IDX00054,0.0
IDX00055,0.0
IDX00056,0.0
IDX00057,0.0
IDX00058,0.0
IDX00059,0.0
IDX00060,0.0
IDX00061,0.0
IDX00062,0.0
IDX00063,0.0
IDX00064,0.0
IDX00065,0.0
IDX00066,0.0
IDX00067,0.0
IDX00068,0.0
IDX00069,0.0
IDX00070,0.0
IDX00071,0.0
IDX00072,0.0
IDX00073,0.0
IDX00074,0.0
IDX00075,0.0
IDX00076,0.0
IDX00077,0.0
IDX00078,0.0
IDX00079,0.0
IDX00080,0.0
IDX00081,0.0
IDX00082,0.0
IDX00083,0.0
IDX00084,0.0
IDX00085,0.0
IDX00086,0.0
IDX00087,0.0
IDX00088,0.22
IDX00089,0.0
IDX00090,0.0
IDX00091,0.0
IDX00092,0.0
IDX00093,0.0
IDX00094,0.0
IDX00095,0.0
IDX00096,0.0
IDX00097,0.0
IDX00098,0.0
IDX00099,0.0
IDX00100,0.0
IDX00101,0.0
IDX00102,0.0
IDX00103,0.0
IDX00104,0.0
IDX00105,0.0
IDX00106,0.0
IDX00107,0.0
IDX00108,0.0
IDX00109,0.0
IDX00110,0.0
IDX00111,0.0
IDX00112,0.0
IDX00113,0.0
IDX00114,0.0
IDX00115,0.0
IDX00116,0.0
IDX00117,0.0
IDX00118,0.0
IDX00119,0.0
IDX00120,0.0
IDX00121,0.0
IDX00122,0.0
IDX00123,0.0
IDX00124,0.0
IDX00125,0.0
IDX00126,0.0
IDX00127,0.0
IDX00128,0.0
IDX00129,0.0
IDX00130,0.0
IDX00131,0.0
IDX00132,0.0
IDX00133,0.0
