id,summary
250366726,"가학리 주민들 호소문 통해 입장 전달 “텅텅 빈 산업단지 두고 왜 민가 근처에…”지난해 8월 송악읍사무소에서 토지개발업체인 G업체와 가학리 이장 등 주민대표들이 주민동의·합의서를 작성, 서명한 것을 두고 2반 주민들은 “사료공장 이전에 따른 피해를 가장 많이 입게 될 가학리 2반 주민들의 의견이 전혀 반영되지 않은 채 일방적으로 추진한 사항”이라며 “‘사업설명회를 진행했지만 공장 입주를 반대하는 주민들이 참여하지 않은 것’이라는 G업체 측의 주장은 사실과 다르다”고 말했다.주민들은 “앞으로도 주민들의 요구가 관철될 때까지 끝까지 싸울 것”이라며 “사료공장 이전이 강행되더라도 합당한 법적 절차를 비롯해 모든 조치를 취해 나갈 것”이라고 덧붙였다."
251994086,10대 때부터 써온 한시 “옛 것 사라지는 것 아쉬워”옛 것이 사라져가는 상황에서 우리의 전통을 이어가고자 더욱 힘쓰겠습니다.”지도작가
252639804,당진서 군복무하며 인연 맺어 “당진시대는 훌륭한 지역의 소식통”최근에는 오존주의보 기사를 보고 아이를 키우는 아버지의 입장에서 환경 문제의 심각성을 다시 한 번 느꼈다고.언제나 당진의 메신저로서 당진시민들의 목소리가 울려퍼지도록 힘써주세요!”
252639915,"진옥성결교회귀국한 다음날에는 교인들이 모여 선교 활동영상을 감상하며, 함께한 교인들의 간증시간이 이뤄졌다.앞으로도 진옥성결교회가 선교하는 교회, 다음세대를 키우는 교회가 될 수 있도록 교인들과 함께 사역하겠습니다.”"
253427793,"이달 중 청년정책네트워크 구성해 본격 논의 면접 서비스, 청년 사회적기업 창업 지원 “일회적 행사 뿐만 아니라 청년 자립 도와야”■활동기간 : 1년(연임 가능) ■활동내용 : 당진형 청년정책에 대한 의견 개진 / 당진형 청년정책 분야별 중점과제 발굴 및 추진상황 점검■창업지원: 우수 아이템 보유자에게 창업시설 입주정보 제공과 창업기회 확대 등 창업 프로그램을 제공한다."
254232969,커피 전문점 커피스트릿이 지난달 9일 행정동에 새롭게 문 열었다.또한 스무디와 플래치노는 여름에 시원하게 즐기기 좋다.(해나루 한식부페 2층) ■문의 : 353-7515
254232993,"당진시배구협회△고문: 이홍연, 이재천, 강정기, 최창용, 홍맹선, 김명기, 임부연, 고재안 △회장: 김송원 △수석부회장: 손요한 △부회장: 손은제, 유민근, 오진수, 유동곤, 인남교, 한기명 △행정감사: 이기범 △회계감사: 구본정 △전무이사: 이진규 △총무이사: 이재원 △재정이사: 이영호 △심판위원장: 정남철 △심판이사: 김대영 △경기위원장: 노성덕 △경기이사: 인성환 △기술이사: 황인준 △홍보이사: 성순진 △이사: 홍승우, 남상범, 전철수, 이충하, 손민하, 서근원, 신용기, 이해성, 노승천, 이도영, 남일현, 구은모, 정재훈, 송인범이 자리를 계기로 배구협회에 대한 힘찬 응원과 관심을 부탁드립니다.”"
259992066,"대한민국 공군전우회 충남서부지회인터뷰 조봉환 초대지회장이날 초대지회장으로 임명된 조봉환 지회장은 “지역사회 봉사를 통해 나라와 전우회 발전에 이바지하고, 전역자들의 특기를 살린 취업 알선 및 사회적응 시스템을 구축하겠다”며 “지회장 임기 동안 내실을 다져 뜻 깊고 보람찬 활동을 펼치겠다”고 말했다."
261494514,요리·마사지 배워 독거노인 위해 봉사 “우강·순성 등 지역 확대해 나갈 것”<봉사단원 명단> △단장: 문경자 △부단장: 손은숙 △단원: 장온순 마진하 서진우 유혜인 허민경 오태랑 김명균 노재현 박주현 서현인 신효진 오태수 백민 노정현 최송빈 송가연 최태율열심히 활동하겠습니다.” (문경자 단장)
261643857,플라시보는 라틴어로 ‘마음에 들다’라는 뜻이다.그런데 어느 누구도 촛불이 계속되어야 한다고 주장하는 이가 없다.지금 우리는 대통령 탄핵과 정권교체라는 가짜 약에 노출되어 있다.
262976010,"김홍장 시장, 에너지정책 전환 토론회 참여 “정부의 당진에코파워 승인은 성급한 결정”김 시장은 “당진은 이미 전국 1위의 석탄을 사용하는 도시가 됐다”며 “석탄화력발전소의 위해성에 대해 그린피스 등 많은 환경단체가 경고하고 있고 영국과 독일, 미국 등 선진국뿐만 아니라 중국도 103기의 화력발전소 신증설 계획을 백지화하고 있는 상황에서 정부의 신규 석탄화력발전소 승인은 친환경에너지를 향한 세계적 추세를 역행하는 것”이라고 목소리를 높였다.그는 “당진에코파워가 영흥화력과 동일한 배출기준을 적용한다지만 그것은 배출총량을 줄인다는 것일 뿐, 그렇다고 해서 결코 석탄화력발전소가 청정발전소가 될 수는 없다”면서 “현재 당진의 환경문제가 한계수준에 달했다”고 호소했다."
263928421,2018년도 정부예산 확보 추진상황 보고회 “당진시 현안 사업 국비 반영 위해 적극 대특히 △신평-내항 간 항만진입도로 건설사업 △당진-천안 간 고속도로 건설사업 △합덕-고덕IC 간 국도 40호선 건설사업 △서해선 복선전철 건설사업 △북부권 건강생활지원센터 건립 등 당진시가 추진하는 핵심사업에 대해 중점적으로 점검했다.회의를 주재한 심병섭 부시장은 “당진시 현안사업을 해결하기 위한 재원을 마련하기 위해서는 국비 확보가 필수”라며 “정부예산이 최종 확정될 때까지 긴장을 늦추지 말고 당진시의 사업들이 국비에 최대한 반영될 수 있도록 적극적으로 대응해 달라”말했다.
264452720,제14회 장고항 실치축제 개최<수상자 명단> △이영환 △이찬배 △이재광 △유광종 △유명천 △김경각 △조수남 △김승배 △임병복 △백주열 △박수환 △김태실 △이재경이번 실치 축제를 통해 많은 분들이 맛 좋은 실치를 맛보고 당진에서의 좋은 추억을 가슴에 담고 돌아가셨길 바랍니다.”
