id,summary
250366726,"가학리 주민들 호소문 통해 입장 전달 “텅텅 빈 산업단지 두고 왜 민가 근처에…”당진축협 사료공장 이전 부지로 지목된 송악읍 가학리 주민들이 사료공장 이전을 반대하고 있는 가운데, 사료공장 부지 선정 기준과 과정을 공개해 달라고 요구하고 있다.주민들은 “앞으로도 주민들의 요구가 관철될 때까지 끝까지 싸울 것”이라며 “사료공장 이전이 강행되더라도 합당한 법적 절차를 비롯해 모든 조치를 취해 나갈 것”이라고 덧붙였다."
251994086,10대 때부터 써온 한시 “옛 것 사라지는 것 아쉬워”남송 채규선 작가가 2016 소외예술 활성화 지원사업 ‘시나브로’에 선정됐다.지도작가
252639804,당진서 군복무하며 인연 맺어 “당진시대는 훌륭한 지역의 소식통”아산시가 고향인 정상열 주무관은 지난 2002년부터 2년 동안 당진에서 군생활을 하며 당진과 인연을 맺었다.언제나 당진의 메신저로서 당진시민들의 목소리가 울려퍼지도록 힘써주세요!”
252639915,"진옥성결교회성전 봉헌식 및 단기선교앞으로도 진옥성결교회가 선교하는 교회, 다음세대를 키우는 교회가 될 수 있도록 교인들과 함께 사역하겠습니다.”"
253427793,"이달 중 청년정책네트워크 구성해 본격 논의 면접 서비스, 청년 사회적기업 창업 지원 “일회적 행사 뿐만 아니라 청년 자립 도와야”당진시가 ‘내일이 설레는 청년 당진’을 비전으로 정하고, 올해 지역경제과 산하에 청년정책팀을 신설, 청년정책을 추진한다.■창업지원: 우수 아이템 보유자에게 창업시설 입주정보 제공과 창업기회 확대 등 창업 프로그램을 제공한다."
254232969,커피 전문점 커피스트릿이 지난달 9일 행정동에 새롭게 문 열었다.경기도 안산시가 고향인 한상원 대표는 지인의 소개로 당진에 내려와 커피스트릿을 개업했다.(해나루 한식부페 2층) ■문의 : 353-7515
254232993,당진시배구협회▲ 지난 9일 당진시배구협회 회장 이취임식에서 김명기 이임회장(오)과 김송원 이임회장(왼)의 모습이 자리를 계기로 배구협회에 대한 힘찬 응원과 관심을 부탁드립니다.”
259992066,"대한민국 공군전우회 충남서부지회대한민국 공군전우회 충남서부지회가 지난 18일 창단된 가운데, 조봉환 씨가 초대지회장을 맡아 임명장을 수여받았다.이날 초대지회장으로 임명된 조봉환 지회장은 “지역사회 봉사를 통해 나라와 전우회 발전에 이바지하고, 전역자들의 특기를 살린 취업 알선 및 사회적응 시스템을 구축하겠다”며 “지회장 임기 동안 내실을 다져 뜻 깊고 보람찬 활동을 펼치겠다”고 말했다."
261494514,요리·마사지 배워 독거노인 위해 봉사 “우강·순성 등 지역 확대해 나갈 것”▲ 면천초등학교 학생과 가족들이 참여하는 면천진달래가족봉사단이 지난 4일 발대식을 열고 활동을 시작했다.열심히 활동하겠습니다.” (문경자 단장)
261643857,플라시보는 라틴어로 ‘마음에 들다’라는 뜻이다.의사가 환자에게 가짜 약을 주면서 진짜 약이라고 하면 환자의 상태가 실제로 좋아지는 현상을 말한다.지금 우리는 대통령 탄핵과 정권교체라는 가짜 약에 노출되어 있다.
