submit_id,hold_d
IDX00001,218.9848597804554
IDX00002,479.4908238423711
IDX00003,198.81513235579737
IDX00004,336.6771618123404
IDX00005,12.999919195351742
IDX00006,132.9838940560557
IDX00007,143.02526402908254
IDX00008,823.2473058435236
IDX00009,115.98563032951684
IDX00010,511.0
IDX00011,172.5378947310384
IDX00012,1373.0
IDX00013,468.0
IDX00014,8.999967320639989
IDX00015,15.999866558999376
IDX00016,4.000018747884766
IDX00017,160.27421710221014
IDX00018,99.98806277473282
IDX00019,399.406356988869
IDX00020,10.999940246110304
IDX00021,8.99996731659407
IDX00022,1373.0
IDX00023,420.0
IDX00024,22.9997575141316
IDX00025,3.0000246583463186
IDX00026,95.98923727688184
IDX00027,95.9894084987639
IDX00028,336.6854758267326
IDX00029,467.0
IDX00030,399.40559256425894
IDX00031,98.98891233887633
IDX00032,98.98902564153059
IDX00033,1002.0
IDX00034,186.54788876300805
IDX00035,16.999856172479348
IDX00036,109.98556834059941
IDX00037,186.54733766913307
IDX00038,1373.0
IDX00039,186.5507415380416
IDX00040,1200.0
IDX00041,1373.0
IDX00042,436.0
IDX00043,1278.0
IDX00044,1373.0
IDX00045,1242.0
IDX00046,608.0
IDX00047,1228.0
IDX00048,1373.0
IDX00049,1373.0
IDX00050,1373.0
IDX00051,1373.0
IDX00052,1242.0
IDX00053,200.18193504253696
IDX00054,647.0
IDX00055,670.0
IDX00056,206.90980238167126
IDX00057,186.54842549580883
IDX00058,630.0
IDX00059,631.0
IDX00060,807.8866662851655
IDX00061,105.98746603449909
IDX00062,675.0
IDX00063,659.0
IDX00064,836.3668377549029
IDX00065,573.0
IDX00066,668.0
IDX00067,663.0
IDX00068,103.98695122273888
IDX00069,172.51909422044073
IDX00070,662.0
IDX00071,853.578125690756
IDX00072,824.357402554911
IDX00073,670.0
IDX00074,1373.0
IDX00075,16.999866451034293
IDX00076,213.84417115925686
IDX00077,36.999629653255326
IDX00078,33.99967162336172
IDX00079,209.9848344859045
IDX00080,15.999865555301401
IDX00081,2.0000274961258713
IDX00082,1173.0
IDX00083,1373.0
IDX00084,1029.0
IDX00085,9.99995282175925
IDX00086,255.57476150218014
IDX00087,200.78067261315076
IDX00088,32.999626310737355
IDX00089,13.999900401968908
IDX00090,6.999994197410565
IDX00091,2.000027507659721
IDX00092,309.02998441008043
IDX00093,33.99963184147342
IDX00094,16.999858747269634
IDX00095,2.0000277690154284
IDX00096,12.999919329876036
IDX00097,10.99994059087419
IDX00098,3.000024639960346
IDX00099,30.999618806481006
IDX00100,147.07330353483408
IDX00101,6.999993309297565
IDX00102,10.99994116614966
IDX00103,53.9999715355335
IDX00104,465.0
IDX00105,28.99965625722524
IDX00106,132.98394650185398
IDX00107,2.00002776046787
IDX00108,3.0000242894962934
IDX00109,135.61373024036803
IDX00110,82.99463369244212
IDX00111,409.9532643809546
IDX00112,143.0262799816609
IDX00113,100.98817166017525
IDX00114,6.999993840666924
IDX00115,334.2161487447579
IDX00116,20.999826945172178
IDX00117,16.999858151361792
IDX00118,3.0000245895591267
IDX00119,6.000003500954154
IDX00120,136.98386476251508
IDX00121,2.0000277690154284
IDX00122,100.98831941737014
IDX00123,340.12502454392364
IDX00124,69.99875992618715
IDX00125,468.0
IDX00126,816.1000068259716
IDX00127,344.39783160896843
IDX00128,409.9339262739942
IDX00129,637.0
IDX00130,2.0000278526982256
IDX00131,1283.0
IDX00132,39.99965505725503
IDX00133,223.66800350775907
IDX00134,778.1627003429815
IDX00135,133.9838890519351
