index,INVC_CONT
32000,4.751712796244897
32001,4.881143206153564
32002,5.283378508369981
32003,6.0224102432285465
32004,5.570852251224409
32005,6.231267907618882
32006,5.126987600219184
32007,4.976854919537138
32008,5.69951659637154
32009,4.837559790528888
32010,4.9223102883043115
32011,4.010043348511641
32012,4.470185663436487
32013,4.6745127939795506
32014,4.47278413602375
32015,3.7338752481387854
32016,3.6782130223148646
32017,3.6386174702597778
32018,3.94079027808696
32019,3.935587396411638
32020,4.058436800966279
32021,4.036885524022556
32022,4.122714877973465
32023,3.9331625606784018
32024,4.062721374522145
32025,4.010043348511641
32026,4.210295025673792
32027,4.442986520826861
32028,4.442986520826861
32029,4.4234325794007825
32030,4.465510928634098
32031,4.5859362566703465
32032,4.010043348511641
32033,4.122714877973465
32034,3.9597198765234283
32035,4.624994317328367
32036,4.081849886025689
32037,4.122714877973465
32038,4.442986520826861
32039,4.4797948255143005
32040,4.6745127939795506
32041,3.882362623521375
32042,3.877549392341965
32043,4.172008081897274
32044,4.993718236865231
32045,4.421668312591528
32046,4.647798652244953
32047,3.875665072789055
32048,4.156082700523914
32049,4.354163421751391
32050,4.6374012119185695
32051,4.421668312591528
32052,4.628094804373847
32053,3.94079027808696
32054,3.8762363620444704
32055,3.982132608497621
32056,4.465510928634098
32057,4.465510928634098
32058,4.335808411542994
32059,4.510209815220603
32060,3.978197666602632
32061,4.210295025673792
32062,4.156082700523914
32063,4.993718236865231
32064,4.362100668600497
32065,3.9587939244796155
32066,4.087316875202648
32067,4.402585288672478
32068,4.520687744821187
32069,4.90560784749502
32070,5.048331756548621
32071,4.010043348511641
32072,5.012252568861158
32073,3.875665072789055
32074,4.156082700523914
32075,4.401286650243977
32076,3.945737652454929
32077,3.920307382162727
32078,4.80291171828697
32079,3.939006206640515
32080,3.9686332625836
32081,4.628094804373847
32082,4.959702949384572
32083,4.560596191255865
32084,4.6745127939795506
32085,4.68391387971258
32086,4.817990300610545
32087,3.9597198765234283
32088,3.94079027808696
32089,3.892135017134776
32090,3.9332390188705793
32091,4.037273642484418
32092,4.062721374522145
32093,4.520687744821187
32094,4.087316875202648
32095,4.037273642484418
32096,3.939006206640515
32097,5.116670741978191
32098,3.877549392341965
32099,3.875665072789055
32100,5.61925363340872
32101,4.91474244958585
32102,5.8563809532211835
32103,4.961165031198524
32104,5.008117627545664
32105,4.974168074544926
32106,4.771898576692267
32107,5.058987034376872
32108,4.5712684991069334
32109,4.961989966060614
32110,4.6953460280720245
32111,1.3945505819955941
32112,2.3358664341313515
32113,17.121618930206225
32114,6.479147829972896
32115,7.148127588531219
32116,7.148127588531219
32117,5.214934515832553
32118,3.878758076039615
32119,4.39322604744997
32120,4.799647538461047
32121,4.749791197684086
32122,4.7590167546053666
32123,6.889883941211089
32124,4.52257817473495
32125,5.761056284169693
32126,6.059915805238885
32127,4.835105693074418
32128,4.9805954276890825
32129,5.2325556013585315
32130,5.2325556013585315
32131,6.0181997958324605
32132,5.852963707145202
32133,4.839587212715571
