index,INVC_CONT
32000,7.915325671515082
32001,5.503203847146799
32002,3.8110298728153453
32003,4.396258681817482
32004,5.15831754450699
32005,4.2553154824319375
32006,4.408584507765065
32007,4.082945676978054
32008,3.8708468052488216
32009,4.045273041968802
32010,2.497307710497035
32011,5.64726127572623
32012,4.071438789221833
32013,7.617621031973192
32014,4.622232077926965
32015,3.493946419597779
32016,3.4926813675140007
32017,3.4051460633934036
32018,3.518116342622423
32019,3.4744689230466195
32020,3.8236603243005924
32021,3.460504104496586
32022,3.408387593392443
32023,3.665021009666888
32024,3.7767926986871228
32025,3.2067286488017785
32026,3.5676170901293602
32027,3.839358713095921
32028,4.015603368965641
32029,3.7377407144086106
32030,3.2068800442637047
32031,3.7418246622622653
32032,3.8030219058125816
32033,4.705265139991567
32034,3.5231014793499096
32035,5.553361376138301
32036,3.538210621987279
32037,4.674240211286773
32038,3.498905356264129
32039,3.1339975479888476
32040,4.804050049019519
32041,3.7548294975976537
32042,3.897894072762395
32043,5.3953711300720215
32044,6.800793277339533
32045,3.967563987871655
32046,7.713111432821642
32047,4.28318672165649
32048,5.499925561936265
32049,5.019256116120449
32050,5.491526438369748
32051,4.327121063531001
32052,5.207814928290119
32053,4.135260078615981
32054,5.159435440517584
32055,3.6452585194901026
32056,4.576110056694219
32057,4.007629288144074
32058,3.0982464833394188
32059,3.746624243040881
32060,4.262932849019378
32061,3.08740671322714
32062,4.327872167986374
32063,3.503979433726323
32064,3.633157698191824
32065,3.9138703484759905
32066,5.478727839366956
32067,3.0723240038290265
32068,3.8183840295305114
32069,3.006894082579393
32070,4.397273890792416
32071,4.27455318746189
32072,4.277770694955545
32073,4.571241493519617
32074,5.055682756258264
32075,7.376551646626787
32076,4.496201179375548
32077,5.287801781662935
32078,3.1219161955017434
32079,4.401650041846805
32080,3.6610886293200453
32081,3.1576284340294087
32082,4.099664742643195
32083,3.1553438015856754
32084,7.935667136639024
32085,7.0327677961474375
32086,4.246461435407907
32087,3.8360550276569443
32088,4.313473953777048
32089,4.001275300109429
32090,3.5855049242947006
32091,3.4407319940008065
32092,4.254162427485894
32093,4.196836950868121
32094,4.183527933287094
32095,3.0517154738585073
32096,3.1960488316676883
32097,2.8707435906361494
32098,4.226294089685737
32099,4.496251125421926
32100,5.965991199569847
32101,4.074194004761314
32102,3.1115482861444512
32103,5.828712977874969
32104,6.068866132112764
32105,4.600659210239712
32106,8.149208154533461
32107,4.124811193736246
32108,5.040999526672523
32109,4.298794476776162
32110,3.1913797311814007
32111,4.939425405209941
32112,4.222541220491061
32113,16.65578096277641
32114,6.404909518644905
32115,6.457130706283286
32116,6.201418959475312
32117,5.7929285185247625
32118,4.400571349728499
32119,4.991006436946667
32120,5.740151797256271
32121,8.91086371515976
32122,3.1076422302082243
32123,4.231834014028799
32124,3.073824917750902
32125,8.245419126384093
32126,5.376176098987637
32127,5.661049607509513
32128,3.3877499145259424
32129,4.319826051597515
32130,4.515845980836075
32131,3.234558548828785
32132,4.55614595110328
