일자|시간|구분,공급량
2019-01-01 01 A,2079.893040522395
2019-01-01 02 A,1832.3963324345139
2019-01-01 03 A,1723.9955228912017
2019-01-01 04 A,1765.355019356045
2019-01-01 05 A,1950.0687406912612
2019-01-01 06 A,2087.1212457016713
2019-01-01 07 A,2507.8107522836985
2019-01-01 08 A,2925.1002018078207
2019-01-01 09 A,2924.1502501923146
2019-01-01 10 A,2742.9308302520176
2019-01-01 11 A,2678.702634751841
2019-01-01 12 A,2400.8981474711836
2019-01-01 13 A,2285.565799392324
2019-01-01 14 A,2196.9161066293887
2019-01-01 15 A,2077.805119385955
2019-01-01 16 A,2045.9964098671646
2019-01-01 17 A,2079.5773540044574
2019-01-01 18 A,2349.9919509028814
2019-01-01 19 A,2656.4165279307217
2019-01-01 20 A,2696.541140711485
2019-01-01 21 A,2687.9026566192583
2019-01-01 22 A,2665.9585427900565
2019-01-01 23 A,2558.36455155552
2019-01-01 24 A,2386.6375165324184
2019-01-02 01 A,2055.3558836341263
2019-01-02 02 A,1821.3713021593023
2019-01-02 03 A,1708.8561267877078
2019-01-02 04 A,1749.8526322816683
2019-01-02 05 A,1940.1793362353958
2019-01-02 06 A,2076.537161645098
2019-01-02 07 A,2495.094314510334
2019-01-02 08 A,2910.2686442257877
2019-01-02 09 A,2909.3235076409073
2019-01-02 10 A,2729.0226366485126
2019-01-02 11 A,2665.1199953379573
2019-01-02 12 A,2365.977854823412
2019-01-02 13 A,2252.3222803208632
2019-01-02 14 A,2164.9614320568817
2019-01-02 15 A,2047.5821546015945
2019-01-02 16 A,2016.2358999318212
2019-01-02 17 A,2049.328623368375
2019-01-02 18 A,2315.811764276517
2019-01-02 19 A,2617.7813497737848
2019-01-02 20 A,2657.3226059196477
2019-01-02 21 A,2648.809713494516
2019-01-02 22 A,2627.1846368724578
2019-01-02 23 A,2521.154914158219
2019-01-02 24 A,2351.924553827529
2019-01-03 01 A,2100.2528996377996
2019-01-03 02 A,1861.1596647520093
2019-01-03 03 A,1746.187912836676
2019-01-03 04 A,1788.0795069570297
2019-01-03 05 A,1982.5616691859248
2019-01-03 06 A,2121.896634651183
2019-01-03 07 A,2549.5922675529737
2019-01-03 08 A,2973.8312191434147
2019-01-03 09 A,2972.8654471166274
2019-01-03 10 A,2788.628014775661
2019-01-03 11 A,2723.330168514236
2019-01-03 12 A,2417.6567706541387
2019-01-03 13 A,2301.519720941992
2019-01-03 14 A,2212.2514978729887
