id,target
0,1
1,0
2,0
3,1
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,0
67,0
68,1
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,1
137,1
138,1
139,0
140,0
141,1
142,1
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,0
175,1
176,1
177,1
178,1
179,0
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,1
194,0
195,0
196,0
197,1
198,1
199,0
200,0
201,1
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,0
210,1
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,0
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,0
266,0
267,0
268,1
269,1
270,1
271,1
272,0
273,1
274,1
275,0
276,0
277,1
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,0
286,0
287,1
288,0
289,0
290,1
291,1
292,0
293,0
294,1
295,1
296,1
297,0
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,1
314,1
315,0
316,0
317,1
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,1
327,1
328,1
329,0
330,0
331,0
332,0
333,1
334,1
335,1
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,0
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,1
399,0
400,0
401,1
402,1
403,1
404,0
405,1
406,0
407,1
408,1
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,1
417,0
418,1
419,0
420,1
421,1
422,0
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,0
436,0
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,1
445,0
446,0
447,1
448,1
449,0
450,0
451,0
452,1
453,1
454,0
455,0
456,0
457,1
458,1
459,1
460,1
461,1
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,0
472,1
473,1
474,1
475,1
476,0
477,1
478,0
479,1
480,1
481,1
482,1
483,0
484,1
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,0
493,1
494,0
495,0
496,1
497,0
498,1
499,1
500,0
501,1
502,1
503,1
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,0
523,1
524,1
525,0
526,0
527,0
528,1
529,1
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,0
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,1
549,0
550,1
551,0
552,0
553,1
554,0
555,0
556,0
557,1
558,0
559,0
560,1
561,0
562,0
563,1
564,1
565,0
566,1
567,1
568,0
569,0
570,0
571,1
572,0
573,1
574,1
575,1
576,0
577,1
578,0
579,1
580,0
581,0
582,1
583,0
584,1
585,1
586,0
587,1
588,1
589,1
590,1
591,1
592,0
593,1
594,0
595,0
596,0
597,0
598,0
599,1
600,0
601,1
602,1
603,1
604,0
605,0
606,0
607,1
608,1
609,0
610,1
611,0
612,0
613,0
614,0
615,0
616,1
617,0
618,1
619,1
620,0
621,0
622,0
623,1
624,1
625,0
626,0
627,1
628,1
629,0
630,0
631,0
632,1
633,1
634,0
635,0
636,0
637,0
638,1
639,1
640,0
641,0
642,0
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,0
652,1
653,0
654,0
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,0
671,1
672,0
673,0
674,0
675,0
676,0
677,1
678,0
679,0
680,1
681,0
682,1
683,0
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,1
692,1
693,1
694,1
695,1
696,1
697,0
698,1
699,0
700,1
701,0
702,1
703,0
704,0
705,0
706,1
707,1
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,1
716,1
717,0
718,0
719,0
720,1
721,0
722,1
723,0
724,1
725,1
726,0
727,0
728,1
729,1
730,1
731,0
732,0
733,0
734,0
735,1
736,0
737,1
738,0
739,1
740,1
741,0
742,0
743,1
744,1
745,1
746,0
747,1
748,1
749,1
750,0
751,0
752,0
753,0
754,0
755,1
756,1
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,0
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,0
776,1
777,0
778,0
779,1
780,0
781,0
782,1
783,1
784,1
785,0
786,0
787,0
788,1
789,0
790,1
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,1
799,1
800,0
801,1
802,1
803,1
804,0
805,1
806,1
807,1
808,1
809,0
810,1
811,1
812,1
813,0
814,0
815,0
816,1
817,1
818,0
819,1
820,1
821,1
822,1
823,1
824,0
825,1
826,0
827,0
828,0
829,1
830,0
831,0
832,0
833,0
834,1
835,1
836,0
837,1
838,1
839,0
840,0
841,1
842,0
843,1
844,0
845,1
846,1
847,1
848,1
849,1
850,1
851,0
852,1
853,0
854,1
855,1
856,0
857,1
858,1
859,0
860,1
861,1
862,1
863,0
864,0
865,0
866,0
867,1
868,1
869,1
870,0
871,0
872,0
873,1
874,1
875,1
876,0
877,1
878,1
879,1
880,0
881,1
882,1
883,0
884,1
885,0
886,0
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,0
895,1
896,1
897,0
898,1
899,0
900,0
901,0
902,0
903,0
904,1
905,1
906,1
907,1
908,0
909,1
910,1
911,1
912,1
913,1
914,0
915,0
916,0
917,0
918,1
919,1
920,0
921,1
922,0
923,0
924,1
925,0
926,1
927,0
928,1
929,1
930,1
931,1
932,1
933,1
934,0
935,1
936,0
937,0
938,1
939,1
940,1
941,1
942,0
943,0
944,0
945,1
946,0
947,1
948,1
949,1
950,0
951,1
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,1
962,1
963,0
964,1
965,0
966,0
967,0
968,0
969,1
970,1
971,1
972,0
973,0
974,0
975,1
976,0
977,1
978,1
979,1
980,0
981,1
982,1
983,0
984,0
985,1
986,0
987,0
988,1
989,0
990,0
991,1
992,1
993,1
994,1
995,1
996,0
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,0
1010,0
1011,0
1012,1
1013,1
1014,1
1015,1
1016,1
1017,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,0
1024,1
1025,0
1026,0
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,0
1043,1
1044,0
1045,1
1046,1
1047,1
1048,1
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,0
1056,1
1057,1
1058,0
1059,1
1060,0
1061,0
1062,1
1063,0
1064,0
1065,0
1066,0
1067,0
1068,1
1069,1
1070,1
1071,0
1072,0
1073,1
1074,1
1075,1
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,1
1083,1
1084,1
1085,1
1086,1
1087,0
1088,1
1089,0
1090,1
1091,0
1092,0
1093,1
1094,1
1095,1
1096,0
1097,1
1098,0
1099,1
1100,1
1101,1
1102,0
1103,1
1104,1
1105,1
1106,1
1107,0
1108,1
1109,0
1110,1
1111,1
1112,0
1113,0
1114,0
1115,1
1116,0
1117,1
1118,0
1119,0
1120,0
1121,1
1122,0
1123,0
1124,1
1125,0
1126,1
1127,1
1128,0
1129,0
1130,0
1131,1
1132,1
1133,1
1134,1
1135,0
1136,0
1137,1
1138,0
1139,1
1140,1
1141,0
1142,0
1143,1
1144,1
1145,0
1146,0
1147,0
1148,1
1149,0
1150,1
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,1
1165,1
1166,0
1167,0
1168,0
1169,1
1170,1
1171,0
1172,0
1173,0
1174,0
1175,1
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,1
1184,1
1185,0
1186,0
1187,0
1188,1
1189,1
1190,1
1191,1
1192,1
1193,0
1194,0
1195,0
1196,1
1197,1
1198,1
1199,0
1200,0
1201,1
1202,0
1203,0
1204,1
1205,0
1206,1
1207,1
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,0
1223,1
1224,1
1225,1
1226,0
1227,0
1228,0
1229,0
1230,0
