일자,중식계,석식계
2021-01-27,1028.0,290.0
2021-01-28,937.0,399.0
2021-01-29,622.0,157.0
2021-02-01,1218.0,420.0
2021-02-02,925.0,401.0
2021-02-03,867.0,242.0
2021-02-04,854.0,523.0
2021-02-05,621.0,175.0
2021-02-08,1171.0,675.0
2021-02-09,996.0,457.0
2021-02-10,788.0,237.0
2021-02-15,1274.0,712.0
2021-02-16,1035.0,658.0
2021-02-17,1010.0,126.0
2021-02-18,815.0,439.0
2021-02-19,608.0,484.0
2021-02-22,1161.0,671.0
2021-02-23,999.0,574.0
2021-02-24,834.0,456.0
2021-02-25,786.0,379.0
2021-02-26,523.0,306.0
2021-03-02,1059.0,740.0
2021-03-03,947.0,83.0
2021-03-04,905.0,564.0
2021-03-05,622.0,713.0
2021-03-08,1256.0,753.0
2021-03-09,1144.0,622.0
2021-03-10,991.0,224.0
2021-03-11,882.0,513.0
2021-03-12,636.0,158.0
2021-03-15,1241.0,529.0
2021-03-16,1004.0,494.0
2021-03-17,1035.0,108.0
2021-03-18,893.0,413.0
2021-03-19,583.0,141.0
2021-03-22,1233.0,587.0
2021-03-23,988.0,471.0
2021-03-24,890.0,826.0
2021-03-25,810.0,392.0
2021-03-26,590.0,302.0
2021-03-29,1206.0,648.0
2021-03-30,986.0,496.0
2021-03-31,936.0,473.0
2021-04-01,779.0,426.0
2021-04-02,586.0,267.0
2021-04-05,1200.0,636.0
2021-04-06,1016.0,471.0
2021-04-07,981.0,279.0
2021-04-08,856.0,438.0
2021-04-09,583.0,307.0
