일자,중식계,석식계
2021-01-27,923.0,105.0
2021-01-28,847.0,421.0
2021-01-29,606.0,157.0
2021-02-01,1200.0,517.0
2021-02-02,961.0,460.0
2021-02-03,833.0,106.0
2021-02-04,838.0,488.0
2021-02-05,649.0,117.0
2021-02-08,1234.0,641.0
2021-02-09,960.0,500.0
2021-02-10,771.0,109.0
2021-02-15,1246.0,678.0
2021-02-16,967.0,640.0
2021-02-17,974.0,96.0
2021-02-18,819.0,528.0
2021-02-19,599.0,332.0
2021-02-22,1145.0,628.0
2021-02-23,969.0,633.0
2021-02-24,723.0,95.0
2021-02-25,750.0,511.0
2021-02-26,510.0,170.0
2021-03-02,1061.0,642.0
2021-03-03,799.0,109.0
2021-03-04,807.0,524.0
2021-03-05,627.0,87.0
2021-03-08,1287.0,631.0
2021-03-09,1111.0,636.0
2021-03-10,880.0,237.0
2021-03-11,834.0,508.0
2021-03-12,598.0,100.0
2021-03-15,1232.0,639.0
2021-03-16,955.0,533.0
2021-03-17,1011.0,60.0
2021-03-18,796.0,447.0
2021-03-19,621.0,159.0
2021-03-22,1227.0,622.0
2021-03-23,940.0,532.0
2021-03-24,829.0,161.0
2021-03-25,711.0,425.0
2021-03-26,537.0,157.0
2021-03-29,1232.0,565.0
2021-03-30,971.0,539.0
2021-03-31,901.0,99.0
2021-04-01,750.0,418.0
2021-04-02,535.0,167.0
2021-04-05,1237.0,615.0
2021-04-06,1014.0,557.0
2021-04-07,848.0,64.0
2021-04-08,807.0,459.0
2021-04-09,550.0,151.0
