일자,중식계,석식계
2021-01-27,1049.4856147858104,300.89406916450037
2021-01-28,930.8848868320686,412.7725623427066
2021-01-29,623.8769103621964,277.7973045212963
2021-02-01,1188.769423581946,500.6393274840571
2021-02-02,972.4363150358719,475.36696704664064
2021-02-03,933.600781926167,290.31533739214524
2021-02-04,868.0080322117767,511.38486821348783
2021-02-05,613.7419911024798,261.12349821079954
2021-02-08,1170.366749136079,616.3372508581763
2021-02-09,989.3055070913616,423.9178130272372
2021-02-10,803.5561833394942,167.23826493577369
2021-02-15,1276.9175191618638,701.6485557734032
2021-02-16,981.7877644772617,663.3595436759933
2021-02-17,1017.668934099023,259.00868014142367
2021-02-18,835.3252302417453,459.4528369488914
2021-02-19,605.8520516251442,438.96649903354506
2021-02-22,1157.4414570177514,627.3877946106562
2021-02-23,987.2633628295821,639.021907624266
2021-02-24,835.1628700282098,396.8789128789359
2021-02-25,818.955071978134,444.4911817973165
2021-02-26,537.9192287291709,282.12526202580443
2021-03-02,1071.0696581049235,712.6993877791707
2021-03-03,967.9826169551443,120.93801456285757
2021-03-04,896.556498447799,520.2746752980594
2021-03-05,614.4429442295346,427.49290205514603
2021-03-08,1278.596668873706,642.5131302924633
2021-03-09,1149.5278921730699,676.742783237499
2021-03-10,1030.5667689483437,348.21454729625526
2021-03-11,894.8132656419026,466.99232705602674
2021-03-12,631.4251405452802,260.26762448481514
2021-03-15,1259.6248228992047,658.645958391343
2021-03-16,1000.1527196773537,560.8841504093833
2021-03-17,1040.0491721559363,79.45853052208885
2021-03-18,889.4373721689037,420.51374510083366
2021-03-19,570.5365888699827,171.30158849275503
2021-03-22,1245.9791748212967,578.7684207412128
2021-03-23,981.764510368168,442.7802458876883
2021-03-24,867.1880605333178,883.2902155843303
2021-03-25,813.128156891224,429.54046202628996
2021-03-26,601.6525923391918,396.79112300408
2021-03-29,1184.1675440981687,617.7771170353568
2021-03-30,983.2350476079921,457.50943701887115
2021-03-31,920.0129703459475,752.7635041184457
2021-04-01,785.9841029212427,341.20296718483195
2021-04-02,597.0911232088472,331.3837229419848
2021-04-05,1179.054025519181,621.956644864228
2021-04-06,996.8622691833051,540.3746891158972
2021-04-07,927.7378754592207,357.72558347478514
2021-04-08,836.2358504795327,419.3373753669065
2021-04-09,587.7280183137094,402.99098403346636
